name,residual
DECOO Restaurant,0.1560000000000059
Momoka Ramen Northeast Philly,0.15600000000000502
Kaku Latin Food,0.15600000000000147
El Molino Tortilleria & Restaurant,0.15599999999999792
Asian Bamboo House,0.15599999999999525
Waterfront Gourmet,0.15599999999999437
Hunan Palace,0.15500000000000558
The Dinner House,0.15500000000000558
"Greek from Greece, gfg café cuisine",0.1550000000000047
Rib Rack,0.15499999999999847
New Era Indian cuisine,0.15499999999999314
20th Street Pizza,0.15400000000000436
Number 1 Kitchen,0.1539999999999977
TAVERN ON THE HILL,0.15399999999999636
La Chingonita,0.1530000000000049
Fresh Donuts,0.15299999999999692
Roma's Pizza,0.1520000000000019
Every Thai,0.1519999999999948
One Pound Cheese Steak,0.15100000000000513
Bao Nine,0.15100000000000513
Jim’s West,0.15100000000000335
Ginger Restaurant,0.1510000000000007
Brewery ARS,0.15099999999999536
Kei Sushi Restaurant,0.15099999999999536
Grandma's Philly,0.15099999999999358
La Rosa Pizza,0.15000000000000657
Taco & Ramen,0.15000000000000568
Farina Di Vita,0.1500000000000048
Saloon Restaurant,0.1500000000000039
Nitty's Tavern,0.14899999999999736
Sushiya,0.1489999999999947
Hajimaru Ramen,0.1489999999999947
MoonNight,0.1480000000000068
Casablanca Mediterranean Grill,0.1480000000000059
Pop Up Café,0.14800000000000413
Zara Halal Grill,0.14800000000000324
Lucky Star Asian Cuisine,0.14800000000000235
Uncle's Seafood,0.14800000000000146
El Principe,0.1479999999999957
Perkins American Food Co.,0.14799999999999525
TD Beer,0.1470000000000038
Tony Burritos California,0.14700000000000113
Lennies Hoagies,0.14699999999999758
Ristorante Pesto,0.1469999999999958
Chickie's & Pete's,0.14600000000000346
El Principe Restaurant,0.14599999999999635
El Placer Restaurant,0.14599999999999458
Pasha's Halal Food,0.14599999999999458
Empanadas United,0.14500000000000757
Taste of Punjab,0.1450000000000049
Phở Duyên Restaurant,0.14500000000000401
John's Roast Pork,0.1449999999999969
El Pastorcito Tacos y Burritos,0.14499999999999513
Cake And Joe,0.14400000000000546
Unity Taqueria,0.1440000000000019
Szechuan Garden,0.14400000000000013
Nepali Momo Kitchen,0.1439999999999957
Johnnie's Italian Restaurant,0.1439999999999957
Nickels Tavern,0.1429999999999998
DOHO Taqueria,0.14200000000000745
The Sweet Life Bakeshop,0.14200000000000657
Dezzy's Jamaican Restaurant,0.142000000000003
Burger King,0.14200000000000257
Pizza Hut,0.14200000000000124
Ernie's Pizza & Restaurant,0.1419999999999959
Royal Sushi & Izakaya,0.14100000000000623
Joe's Pizza Philly,0.14100000000000534
Marlei's Sweet Tooth,0.14099999999999646
Fitz on 4th,0.1409999999999938
Sharq Family Restaurant,0.140000000000005
Marcello's Pizza Grill Philly,0.14000000000000323
Taco Bell,0.140000000000001
Al-Sham Restaurant 1,0.14000000000000057
Enzo's Pizzata,0.13999999999999968
R2L,0.13999999999999968
