latitude,longitude,median_income,population
39.9174351,-75.1660713,94150.0,5182.0
39.9210754,-75.1450699,81030.51851851853,4961.777777777777
39.916708,-75.168998,94150.0,5182.0
39.9123934,-75.1827023,113636.0,5982.0
39.9220793,-75.1508238,84500.0,4545.0
39.9235174,-75.1818864,47760.0,3499.0
39.9154641,-75.1591759,62857.0,3844.0
39.9264205,-75.1575201,71027.0,4175.0
39.9159622,-75.1530899,75984.0,5568.0
39.9208976,-75.14654,81766.46913580247,4873.3703703703695
39.9256572,-75.1427373,99797.0,4409.0
39.9217544,-75.14627949999999,80855.29218106996,4982.827160493826
39.9144023,-75.1513002,75984.0,5568.0
39.9149998,-75.1585557,75185.0,3942.0
39.923721,-75.16593069999999,82258.0,4118.0
39.9249242,-75.15997109999999,72500.0,5489.0
39.9472602,-75.1535347,85271.0,2714.0
39.92521259999999,-75.1747247,59262.0,6218.0
39.9168378,-75.1700314,94150.0,5182.0
39.9010075,-75.1667404,84805.85185185185,4596.592592592592
39.9262348,-75.1556732,95224.0,3698.0
39.9153507,-75.1583732,62857.0,3844.0
39.9075319,-75.15520959999999,75185.0,3942.0
39.9217476,-75.1469393,82373.92043895747,4800.399176954732
39.9144249,-75.15132299999999,75984.0,5568.0
39.9255855,-75.1589928,71027.0,4175.0
39.918799,-75.1588817,52083.0,4670.0
39.9365572,-75.173743,116354.0,2532.0
39.91589,-75.1524452,75984.0,5568.0
39.9215254,-75.1485416,84500.0,4545.0
39.9202992,-75.1586394,52083.0,4670.0
39.9131306,-75.1538454,75185.0,3942.0
39.9183045,-75.14052149999999,77666.17283950618,5365.925925925926
39.9215563,-75.1667326,82258.0,4118.0
39.9210579,-75.1643806,94150.0,5182.0
39.9274785,-75.1557124,71027.0,4175.0
39.9249452,-75.163906,82258.0,4118.0
39.9150318,-75.1548887,75984.0,5568.0
39.92139179999999,-75.1449611,80551.56652949245,5019.312757201646
39.9192109,-75.1668619,94150.0,5182.0
39.9284176,-75.1632139,94427.0,5868.0
39.9125208,-75.1500125,75185.0,3942.0
39.9145386,-75.1568987,75185.0,3942.0
39.9216779,-75.1449445,80450.32464563329,5031.474622770918
39.9280014,-75.1692717,55288.0,3726.0
39.9179971,-75.1707493,94150.0,5182.0
39.9270857,-75.1455539,99797.0,4409.0
39.9345264,-75.1546235,84732.0,4666.0
39.9323458,-75.1611108,104981.0,4031.0
39.9218639,-75.1509861,84500.0,4545.0
39.9419429,-75.1446869,137250.0,3493.0
39.9250573,-75.165859,82258.0,4118.0
39.9181452,-75.16955279999999,94150.0,5182.0
39.9702616,-75.1356904,129023.0,6177.0
39.9208427,-75.1584273,72500.0,5489.0
39.9260701,-75.1681921,104981.0,4031.0
39.90441939999999,-75.16888229999999,75195.8024691358,4134.79012345679
39.919456,-75.15391009999999,75984.0,5568.0
39.9048401,-75.1670827,77025.77366255144,4213.572016460906
39.9189425,-75.1408356,77806.35390946503,5349.086419753086
39.9487178,-75.1779629,130096.0,1716.0
39.92666639999999,-75.14160439999999,99797.0,4409.0
39.9091912,-75.1646617,72602.44307270233,4007.1165980795613
40.0312827,-75.1527867,36463.0,4165.0
39.875268,-75.2437272,39226.333333333336,1292.3333333333333
40.0295632,-75.1808518,63795.0,3934.0
39.9282246,-75.1568413,71027.0,4175.0
39.9486599,-75.2158463,63348.0,4609.0
39.9180935,-75.14925869999999,75984.0,5568.0
39.9236459,-75.1421189,93348.10821521109,4616.491540923639
39.9223192,-75.16486689999999,82258.0,4118.0
39.9519749,-75.2267537,70526.0,3811.0
39.9170934,-75.17484979999999,87258.0,5206.0
39.9115588,-75.15012449999999,75185.0,3942.0
39.9142764,-75.14715629999999,75451.33333333333,4484.0
39.9194606,-75.1539032,75984.0,5568.0
40.039409,-75.177966,66691.0,6060.0
40.0371043,-75.1737359,53414.0,2426.0
39.9137689,-75.1545162,75185.0,3942.0
39.914485,-75.1567616,75185.0,3942.0
39.9217963,-75.1468242,81665.2272519433,4885.532235939642
39.9264546,-75.1656307,94427.0,5868.0
39.9159432,-75.1630278,62857.0,3844.0
39.9137982,-75.1511148,75185.0,3942.0
39.9043997,-75.16892229999999,79009.14266117969,4314.9849108367625
40.0410071,-75.0652688,56818.0,7507.0
